ID,实例名,状态,地域,可用区,实例类型,实例规格,CPU(核数),内存(GB),GPU(卡数),操作系统,镜像Id,带宽(Mbps),主IPv4公网IP,主IPv4内网IP,主IPv4RdmaIP,主IPv6地址,系统盘类型,系统盘大小(GiB),VpcId,Vpc名称,子网Id,子网名称,网络类型,创建时间,到期时间,实例计费模式,网络计费模式,所属项目,专用宿主机ID,置放群组ID,高性能计算集群ID,数据盘_0_类型,数据盘_0_大小（GiB）,数据盘_1_类型,数据盘_1_大小（GiB）,数据盘_2_类型,数据盘_2_大小（GiB）,数据盘_3_类型,数据盘_3_大小（GiB）,标签_with-snapshot
ins-l67apsv9,TCVMZY0003,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,CentOS 7.6 64位,img-rcxh7tl3,0Mbps,,10.82.87.3,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-22 17:12:16,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,100,CLOUD_PREMIUM,100,,,,,
ins-br1uucwd,TCVMZY0002,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.17,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-22 17:12:19,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,50,CLOUD_PREMIUM,100,,,,,
ins-dlm2rddx,TCVMBB0007,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,Ubuntu Server 22.04 LTS 64位,img-487zeit5,0Mbps,,10.82.76.6,,,CLOUD_PREMIUM,50,vpc-8z15k19k,TVPCBB0002,subnet-7c81o3bv,TIPSBB0004,TVPCBB0002,2024-05-23 10:12:13,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,,,,,,,
ins-1zvzau9t,TCVMBB0008,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,Ubuntu Server 22.04 LTS 64位,img-487zeit5,0Mbps,,10.82.76.4,,,CLOUD_PREMIUM,50,vpc-8z15k19k,TVPCBB0002,subnet-7c81o3bv,TIPSBB0004,TVPCBB0002,2024-05-23 10:12:16,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,300,,,,,,,
ins-2mqznn9l,TCVMBB0009,运行中,上海,上海五区,标准型S5,S5.4XLARGE32,16,32,0,Ubuntu Server 22.04 LTS 64位,img-487zeit5,0Mbps,,10.82.76.2,,,CLOUD_PREMIUM,50,vpc-8z15k19k,TVPCBB0002,subnet-7c81o3bv,TIPSBB0004,TVPCBB0002,2024-05-23 10:18:14,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,,,,,,,
ins-5mkn5mmb,TCVMBB0010,运行中,上海,上海五区,标准型S5,S5.LARGE16,4,16,0,Ubuntu Server 22.04 LTS 64位,img-487zeit5,0Mbps,,10.82.76.10,,,CLOUD_PREMIUM,50,vpc-8z15k19k,TVPCBB0002,subnet-7c81o3bv,TIPSBB0004,TVPCBB0002,2024-05-23 10:23:03,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,,,,,,,
ins-6dw6hh1l,TCVMZY0007,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,CentOS 7.6 64位,img-0yssjfdb,0Mbps,,10.82.87.8,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:15:19,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,CLOUD_PREMIUM,500,,,,,
ins-o5ye42zx,TCVMZY0009,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,CentOS 7.6 64位,img-0yssjfdb,0Mbps,,10.82.87.14,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:15:20,,CDC计费,,默认项目,,,,,,,,,,,,
ins-0kc9w889,TCVMZY0012,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.5,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:16:36,,CDC计费,,默认项目,,,,,,,,,,,,
ins-eln0mnhl,TCVMZY0011,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.7,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:16:40,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,300,CLOUD_PREMIUM,100,,,,,
ins-m9th151h,TCVMZY0015,运行中,上海,上海五区,标准型S5,S5.4XLARGE32,16,32,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.12,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:16:45,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,CLOUD_PREMIUM,100,,,,,
